Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	Cnt_1 count	Cnt_2 count	Cnt_3 count	Cnt_4 count	Cnt_6 count	Nic_1 count	Nic_3 count	Nic_4 count	Nic_5 count	Nic_6 count	Cnt_1 normalised count	Cnt_2 normalised count	Cnt_3 normalised count	Cnt_4 normalised count	Cnt_6 normalised count	Nic_1 normalised count	Nic_3 normalised count	Nic_4 normalised count	Nic_5 normalised count	Nic_6 normalised count
ENSDARG00000039490	1.512705337165597e-14	3.047413661053603e-11	0.6085215887047808	15	28410664	28425011	1	protein_coding	pitpnaa	phosphatidylinositol transfer protein, alpha a [Source:ZFIN;Acc:ZDB-GENE-040426-744]	324	401	420	388	347	502	610	559	476	612	357.07904747267787	377.35197367177386	349.79113171003473	389.6752784793981	318.770773347724	528.3069188477787	516.4501177424667	553.7143305548395	533.854272299728	599.3143999690554
ENSDARG00000004748	1.8307399594121236e-14	3.380766458381055e-11	0.9454553792854178	3	39472342	39488639	-1	protein_coding	zgc:100868	zgc:100868 [Source:ZFIN;Acc:ZDB-GENE-040801-33]	1952	2906	3461	3418	2494	3919	6573	5409	4523	5988	2151.2910514403306	2734.625524913154	2882.4454924962624	3432.7579944396466	2291.1075179516533	4124.372141363436	5564.961678559399	5357.854765601301	5072.737129436281	5863.88010950115
ENSDARG00000102808	2.1424348715518527e-14	3.652027442583773e-11	0.6821759626764236	2	55783896	55797318	-1	protein_coding	calr3b	calreticulin 3b [Source:ZFIN;Acc:ZDB-GENE-030131-9907]	369	461	446	434	456	555	931	723	550	617	406.6733596216609	433.8136156176752	371.44486843494167	435.8738939692237	418.9033793849053	584.084342550831	788.2214092102238	716.1636153687817	616.8484238757361	604.2107594459269
ENSDARG00000059294	2.3291216611160485e-14	3.686666857880831e-11	1.3130282232340535	9	795609	813693	-1	protein_coding	marco	macrophage receptor with collagenous structure [Source:ZFIN;Acc:ZDB-GENE-120514-2]	59	70	89	73	53	131	217	148	178	148	65.02365370644442	65.87191560355154	74.12240648141213	73.31519414689707	48.688331375877155	137.86495292641237	183.72077959035292	146.60057410038684	199.6345808179655	144.9322405153925
ENSDARG00000058731	4.991831533824549e-14	7.374599119303466e-11	1.6255695976681663	8	12854105	12867434	-1	protein_coding	slc2a6	solute carrier family 2 member 6 [Source:ZFIN;Acc:ZDB-GENE-081104-301]	44	38	68	77	29	113	173	170	138	169	48.49221632345008	35.75903989907084	56.63284989591038	77.33246505905582	26.640785092461083	118.92167695179083	146.4686399499127	168.39255133152542	154.77287726336652	165.49695031825226
ENSDARG00000030896	7.719036705446403e-14	1.0690865837043268e-10	-0.9713688558186517	2	720779	722170	-1	protein_coding	foxq1a	forkhead box Q1a [Source:ZFIN;Acc:ZDB-GENE-070424-74]	179	211	240	130	232	77	108	100	99	100	197.2751527703992	198.55677417641968	199.88064669144842	130.56130464515917	213.12628073968867	81.03512500254773	91.43707002653508	99.05444195972085	111.0327162976325	97.92718953742737
ENSDARG00000117300	2.9429498351169986e-13	3.836221667423099e-10	2.0475829982823557	18	38859119	38865170	-1	lincRNA	BX936456.1	NA	15	10	17	27	22	49	100	64	61	93	16.531437382994344	9.41027365765022	14.158212473977596	27.11657865707152	20.210250759798065	51.5678068198031	84.66395372827323	63.39484285422134	68.41409792076347	91.07228626980745
ENSDARG00000102758	6.2348371230544e-13	7.675777258160306e-10	1.249805693840729	8	52479026	52490474	1	protein_coding	FO704661.1	gamma-glutamyl hydrolase [Source:NCBI gene;Acc:553228]	70	110	103	96	84	150	258	197	200	256	77.14670778730694	103.51301023415243	85.78211087174661	96.41450189180985	77.16641199195624	157.86063312184623	218.43300061894493	195.13725066065007	224.30851777299495	250.69360521581407
ENSDARG00000004754	1.1924538885778223e-12	1.3907777984676073e-9	0.622628659541188	21	43137500	43171249	-1	protein_coding	hspa4a	heat shock protein 4a [Source:ZFIN;Acc:ZDB-GENE-040426-2832]	399	377	402	397	389	563	655	585	534	584	439.7362343876496	354.76731689341335	334.8000832081761	398.7141380317553	357.3539793437021	592.5035763173295	554.5488969201897	579.468485464367	598.9037424538965	571.8947868985758
ENSDARG00000099960	1.8069533902392421e-12	2.0021043563850804e-9	0.752972837868809	2	19163965	19215112	1	protein_coding	elovl1a	ELOVL fatty acid elongase 1a [Source:ZFIN;Acc:ZDB-GENE-041010-66]	110	121	178	130	129	188	248	191	205	247	121.2305408086252	113.86431125756768	148.24481296282426	130.56130464515917	118.50556127336137	197.85199351271393	209.9666052461176	189.1939841430668	229.91623071731982	241.8801581574456
ENSDARG00000056615	1.925755438867434e-12	2.032130501204873e-9	1.0002525764906278	11	29795155	29818866	-1	protein_coding	cybb	cytochrome b-245, beta polypeptide (chronic granulomatous disease) [Source:ZFIN;Acc:ZDB-GENE-040426-1380]	122	136	196	127	151	224	305	230	319	315	134.45569071502067	127.979721744043	163.23586146468287	127.54835146104011	138.71581203315944	235.73854546195705	258.22505887123333	227.82521650735794	357.772085847927	308.4706470428962
ENSDARG00000073820	3.722650169017917e-12	3.749723988428957e-9	2.9105295192048515	14	11504504	11507426	-1	protein_coding	zgc:174917	zgc:174917 [Source:ZFIN;Acc:ZDB-GENE-070928-42]	66	61	92	200	85	560	921	690	503	1055	72.73832448517511	57.40266931166635	76.62091456505523	200.8635456079372	78.08505975376525	589.3463636548926	779.7550138373964	683.4756495220738	564.1359221990823	1033.1318496198587
ENSDARG00000003570	4.180286399057338e-12	4.027615069700461e-9	0.4408402681287371	4	9836465	9843836	1	protein_coding	hsp90b1	heat shock protein 90, beta (grp94), member 1 [Source:ZFIN;Acc:ZDB-GENE-031002-1]	1507	1675	1862	1648	1742	1805	2828	2383	1902	2167	1660.858409078165	1576.220837656412	1550.7406839144874	1655.1156158094025	1600.2844010712831	1899.5896185662164	2394.296611435567	2360.4673519001476	2133.174004021182	2122.082197276051
ENSDARG00000077799	8.114185165368406e-12	7.492097636023496e-9	-0.824878899800482	23	45579497	45581626	1	protein_coding	egr4	early growth response 4 [Source:ZFIN;Acc:ZDB-GENE-080204-90]	338	383	428	233	396	161	229	194	175	205	372.50838903013926	360.4134810880035	356.453819933083	234.0060306332468	363.7845136763651	169.43707955078162	193.8804540377457	192.16561740185844	196.26995305137058	200.7507385517261
ENSDARG00000053836	8.748206080357629e-12	7.754409869629003e-9	1.6917256073891547	2	37851124	37864665	-1	protein_coding	si:ch211-284o19.8	si:ch211-284o19.8 [Source:ZFIN;Acc:ZDB-GENE-070912-289]	27	27	41	54	34	86	112	99	141	126	29.75658728938982	25.407738875655596	34.14627714312244	54.23315731414304	31.2340239015061	90.5067629898585	94.82362817566602	98.06389754012363	158.13750502996143	123.38825881715849
ENSDARG00000094678	9.169858954621069e-12	7.81554132440011e-9	1.325721548732017	1	44784793	44796531	-1	protein_coding	si:dkey-9i23.6	si:dkey-9i23.6 [Source:ZFIN;Acc:ZDB-GENE-090313-365]	28	37	41	45	37	65	138	75	88	91	30.858683114922776	34.81801253330582	34.14627714312244	45.19429776178587	33.98996718693311	68.40627435280003	116.83625614501706	74.29083146979063	98.69574782011777	89.1137424790589
ENSDARG00000076914	3.424026322346613e-11	2.8102379001185536e-8	1.2874053438323019	9	18572970	18587754	1	protein_coding	lacc1	laccase (multicopper oxidoreductase) domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-081104-155]	45	40	74	48	46	82	166	114	90	146	49.594312148983036	37.64109463060088	61.629866063196594	48.207250945904924	42.25779704321413	86.29714610660928	140.54216318893356	112.92206383408175	100.93883299784773	142.97369672464396
ENSDARG00000037421	3.779223118184061e-11	2.990985153534242e-8	-0.47424964768580935	14	21332522	21336385	-1	protein_coding	egr1	early growth response 1 [Source:NCBI gene;Acc:30498]	1968	2827	2816	1927	2686	1551	2130	1760	1398	1620	2168.924584648858	2660.2843630177176	2345.2662545129947	1935.3202619324748	2467.487888218982	1632.27894647989	1803.3422144122198	1743.3581784910868	1567.9165392332347	1586.4204705063235
ENSDARG00000014340	4.5872825082270506e-11	3.505316564907291e-8	0.7606950242434621	16	46725087	46741779	1	protein_coding	rab11al	RAB11a, member RAS oncogene family, like [Source:ZFIN;Acc:ZDB-GENE-031118-188]	80	108	130	143	133	170	257	200	162	182	88.16766604263651	101.63095550262238	108.26868362453456	143.61743510967509	122.18015232059739	178.9087175380924	217.5863610816622	198.1088839194417	181.68989939612592	178.2274849581178
ENSDARG00000104773	5.70770673671431e-11	4.1069391754303735e-8	-0.4794165730608112	3	7654655	7656059	-1	protein_coding	junbb	JunB proto-oncogene, AP-1 transcription factor subunit b [Source:ZFIN;Acc:ZDB-GENE-040426-2666]	794	1066	946	875	987	571	708	676	606	658	875.0640854731673	1003.1351719055136	787.8628823754592	878.7780120347252	906.7053409054859	600.9228100838279	599.4207923961744	669.6080276477129	679.6548088521747	644.3609071562721
ENSDARG00000105749	5.745266897037075e-11	4.1069391754303735e-8	1.0878662503577485	4	72486529	72488135	-1	unprocessed_pseudogene	CR788316.2	NA	127	163	190	175	137	259	416	271	267	416	139.96616984268545	153.3874606196986	158.23884529739667	175.75560240694503	125.8547433678334	272.57269319038784	352.20204750961665	268.43753771084346	299.45187122694824	407.37710847569787
ENSDARG00000018491	6.174199934920327e-11	4.275633454932327e-8	0.630245868363129	24	17334678	17341458	1	protein_coding	pdia4	protein disulfide isomerase family A, member 4 [Source:ZFIN;Acc:ZDB-GENE-030131-5493]	389	420	483	399	469	473	789	715	514	746	428.71527613232	395.2314936213093	402.25980146653995	400.7227734878347	430.84580028842237	497.78719644422176	667.9985949160758	708.239260012004	576.472890676597	730.5368339492081
ENSDARG00000109648	7.354226091385745e-11	4.9384742480335793e-8	1.3222409193784277	25	13180468	13188678	-1	protein_coding	si:ch211-147m6.1	si:ch211-147m6.1 [Source:ZFIN;Acc:ZDB-GENE-131120-57]	97	140	185	145	120	229	385	301	342	383	106.90329507669676	131.74383120710309	154.0746651579915	145.62607056575445	110.23773141708034	241.00056656601856	325.95622185385196	298.1538702987597	383.56756539182135	375.0611359283468
ENSDARG00000010231	8.933990212215326e-11	5.822859503020341e-8	0.5189851136051541	15	9053059	9069172	1	protein_coding	ppm1na	protein phosphatase, Mg2+/Mn2+ dependent, 1Na (putative) [Source:ZFIN;Acc:ZDB-GENE-040426-2731]	193	272	270	247	275	333	423	355	273	351	212.70449432786057	255.959443488086	224.86572752787947	248.06647882580242	252.6281344974758	350.45060553049865	358.12852427059573	351.643268957009	306.1811267601381	343.72443527637006
ENSDARG00000039142	1.210687528412134e-10	7.665381608460826e-8	0.5162005441350148	2	20967673	20975677	1	protein_coding	arpc5a	actin related protein 2/3 complex, subunit 5A [Source:ZFIN;Acc:ZDB-GENE-030131-8448]	429	517	567	452	496	586	801	683	565	757	472.79910915363826	486.51114810051644	472.2180278085469	453.95161307393806	455.64928985726544	616.7088733960126	678.1582693634685	676.5418385848933	633.6715627087108	741.3088247983252
ENSDARG00000104672	2.0314639960080642e-10	1.2504789486538527e-7	0.555975982478973	KN149880.1	4887	50623	1	protein_coding	CABZ01074397.1	NACHT, LRR and PYD domains-containing protein 3-like [Source:NCBI gene;Acc:100535428]	219	341	334	330	293	350	519	468	380	430	241.35898579171743	320.89033172587256	278.1672333122657	331.42485025309634	269.16379421003785	368.34147728430787	439.40591984973804	463.5747883714935	426.1861837686904	421.0869150109377
ENSDARG00000054196	2.2646593068819166e-10	1.356347303797386e-7	-1.13321464745115	7	29163762	29176207	1	protein_coding	slc38a8b	solute carrier family 38 member 8b [Source:ZFIN;Acc:ZDB-GENE-121005-6]	45	78	80	65	60	27	30	27	32	27	49.594312148983036	73.40013452967173	66.6268822304828	65.28065232257958	55.11886570854017	28.41491396193232	25.399186118481968	26.74469932912463	35.889362843679194	26.440341175105388
ENSDARG00000090548	3.2166519330623694e-10	1.8758159693858449e-7	0.7061234161583239	24	11058151	11069237	-1	protein_coding	CR753886.1	GTPase IMAP family member 4 [Source:NCBI gene;Acc:793765]	106	99	143	148	126	169	224	177	180	227	116.82215750649337	93.16170921073719	119.09555198698801	148.6390237498735	115.74961798793436	177.85631331728007	189.64725635133203	175.32636226870588	201.87766599569545	222.29472024996014
ENSDARG00000104919	3.9364387399614275e-10	2.2367046789114162e-7	2.5852413346705836	14	11430796	11438060	1	protein_coding	si:ch211-153b23.3	si:ch211-153b23.3 [Source:ZFIN;Acc:ZDB-GENE-141216-408]	108	199	163	287	227	796	1621	1004	932	1413	119.02634915755928	187.2644457872394	135.75227254460873	288.23918794738984	208.53304193064366	837.7137597665973	1372.4026899353091	994.5065972755973	1045.2776928221565	1383.7111881638486
ENSDARG00000062788	6.698135801660169e-10	3.7107672341197336e-7	2.2356761474318043	14	11427052	11430610	-1	protein_coding	irg1l	immunoresponsive gene 1, like [Source:ZFIN;Acc:ZDB-GENE-061103-301]	275	371	361	535	415	1151	2541	1634	1466	2234	303.07635202156297	349.1211526988232	300.6538060650537	537.309984501232	381.2388211507362	1211.3172581549668	2151.3110642354227	1618.5495816218386	1644.181435276053	2187.6934142661275
ENSDARG00000079227	8.009044554285998e-10	4.3287909103165297e-7	0.9458798258852622	12	30517386	30523229	-1	protein_coding	plekhs1	pleckstrin homology domain containing, family S member 1 [Source:ZFIN;Acc:ZDB-GENE-080204-50]	234	404	341	358	383	453	801	622	643	669	257.89042317471177	380.17505576906893	283.997085507433	359.54574663820756	351.8420927728481	476.7391120279756	678.1582693634685	616.1186289894637	721.1518846401788	655.132898005389
ENSDARG00000051888	8.904201215650017e-10	4.6980261652096274e-7	0.31854230829772945	7	56472568	56484798	1	protein_coding	ist1	IST1 factor associated with ESCRT-III [Source:ZFIN;Acc:ZDB-GENE-030131-179]	766	962	967	843	851	907	1219	1084	936	1126	844.2054023582446	905.2683258659513	805.352438960961	846.6398447374552	781.7692452994614	954.5306282767635	1032.0535959476506	1073.7501508433738	1049.7638631776165	1102.6601541914322
ENSDARG00000077169	9.152532133559147e-10	4.7089485706046475e-7	2.0351069373841257	14	11450498	11456724	-1	protein_coding	si:ch211-153b23.4	si:ch211-153b23.4 [Source:ZFIN;Acc:ZDB-GENE-030131-7332]	88	161	147	265	158	426	851	640	615	728	96.98443264690016	151.50540588816855	122.42689609851216	266.1441979305168	145.14634636582247	448.32419806604327	720.4902462276052	633.9484285422134	689.7486921519595	712.9099398324712
ENSDARG00000056196	9.349897883872044e-10	4.7089485706046475e-7	-0.3522949077456573	2	25816843	25837986	1	protein_coding	slc2a2	solute carrier family 2 member 2 [Source:ZFIN;Acc:ZDB-GENE-030131-1213]	789	807	930	837	914	552	738	688	621	627	869.5536063455025	759.4090841723729	774.5375059293626	840.6139383692171	839.6440542934287	580.9271298883941	624.8199785146564	681.4945606828794	696.4779476851494	614.0034783996696
ENSDARG00000018283	9.986237724905935e-10	4.917667288531457e-7	0.6906438815403232	18	31073265	31075619	1	protein_coding	cyba	cytochrome b-245, alpha polypeptide [Source:ZFIN;Acc:ZDB-GENE-040426-1526]	169	219	249	252	243	271	447	323	309	414	186.25419451506963	206.08499310253984	207.37617094237774	253.08806746600087	223.2314061195877	285.2015438401355	378.44787316538134	319.94584752989834	346.5566599592772	405.41856468494933
ENSDARG00000105731	1.097235493243774e-9	5.285812723974355e-7	1.0556474161967873	4	72463842	72476526	-1	protein_coding	CR788316.1	verrucotoxin subunit beta-like [Source:NCBI gene;Acc:103908715]	1119	1740	1777	1646	1312	2614	3652	2700	2308	3961	1233.2452287713782	1637.3876164311384	1479.9496215445993	1653.106980353323	1205.2658634934119	2750.9846332033735	3091.9275901565384	2674.469932912463	2588.5202951003616	3878.895977577498
ENSDARG00000004954	1.1722365209185645e-9	5.526970490118169e-7	0.9790063622090359	3	29914427	29941357	-1	protein_coding	grna	granulin a [Source:ZFIN;Acc:ZDB-GENE-030131-8434]	106	160	208	154	141	225	348	258	290	326	116.82215750649337	150.56437852240353	173.2298937992553	154.66493011811164	129.5293344150694	236.79094968276934	294.63055897439085	255.56046025607978	325.2473507708427	319.24263789201325
ENSDARG00000025903	1.569328763758626e-9	7.245067792685657e-7	0.8120264018695903	15	31032255	31043183	-1	protein_coding	lgals9l1	lectin, galactoside-binding, soluble, 9 (galectin 9)-like 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9543]	121	133	188	132	145	171	272	265	220	283	133.3535948894877	125.15663964674795	156.5731732416346	132.56994010123853	133.20392546230542	179.9611217589047	230.2859541409032	262.4942711932602	246.73936955029444	277.13394639091945
ENSDARG00000025094	1.7688369504316192e-9	7.999474861543812e-7	0.4092591149245191	6	42932757	42949184	-1	protein_coding	edem1	ER degradation enhancer, mannosidase alpha-like 1 [Source:ZFIN;Acc:ZDB-GENE-040426-808]	433	472	579	574	510	552	769	674	567	727	477.2074924557701	444.16491664109043	482.21206014311934	576.4783758947797	468.51035852259145	580.9271298883941	651.0658041704212	667.6269388085185	635.9146478864407	711.9306679370969
ENSDARG00000100504	1.8134308370425946e-9	8.037125469772779e-7	-0.6578370735924596	6	18196961	18199062	-1	protein_coding	ppp1r27b	protein phosphatase 1, regulatory subunit 27b [Source:ZFIN;Acc:ZDB-GENE-051023-5]	294	374	444	448	344	196	255	252	205	252	324.01617270668913	351.9442347961183	369.77919637917955	449.9343421617793	316.014830062297	206.2712272792124	215.89308200709672	249.61719373849652	229.91623071731982	246.77651763431697
ENSDARG00000105829	2.5262581957696203e-9	1.0976839532991134e-6	1.135502754902631	4	72500840	72513569	-1	protein_coding	CR788316.4	neoverrucotoxin subunit beta-like [Source:NCBI gene;Acc:100004951]	383	650	683	658	496	1009	1564	1021	986	1502	422.1027011791223	611.6677877472644	568.8270070427469	660.8410650501133	455.64928985726544	1061.875858799619	1324.1442363101933	1011.3458524087498	1105.840992620865	1470.8663868521592
ENSDARG00000104077	2.967959779567402e-9	1.2648074752925697e-6	0.734136167659851	2	58077662	58085444	-1	protein_coding	fcer1gl	Fc receptor, IgE, high affinity I, gamma polypeptide like [Source:ZFIN;Acc:ZDB-GENE-070502-4]	96	121	178	97	116	155	215	202	162	233	105.80119925116381	113.86431125756768	148.24481296282426	97.41881961984953	106.56314036984433	163.12265422590778	182.02750051578744	200.0899727586361	181.68989939612592	228.17035162220577
ENSDARG00000037654	3.0949156236496423e-9	1.2940250984920014e-6	0.8373356218715431	1	9860381	9866856	1	protein_coding	pmm2	phosphomannomutase 2 [Source:ZFIN;Acc:ZDB-GENE-030722-6]	68	85	88	70	90	113	165	133	132	146	74.94251613624103	79.98732609002688	73.28957045353108	70.30224096277801	82.67829856281026	118.92167695179083	139.69552365165083	131.74240780642873	148.04362173017668	142.97369672464396
ENSDARG00000045561	3.5754388838124707e-9	1.4672541789867474e-6	1.1573719641210483	4	17662413	17669881	-1	protein_coding	dram1	DNA-damage regulated autophagy modulator 1 [Source:ZFIN;Acc:ZDB-GENE-041010-147]	26	41	46	51	38	79	96	78	91	87	28.654491463856864	38.582121996365906	38.310457282527615	51.22020413002398	34.90861494874211	83.13993344417234	81.2773955791423	77.26246472858226	102.06037558671271	85.19665489756181
ENSDARG00000103650	3.9399450361213485e-9	1.587439672735438e-6	0.914504826638588	12	44119432	44307963	-1	protein_coding	si:ch73-329n5.1	si:ch73-329n5.1 [Source:ZFIN;Acc:ZDB-GENE-131121-475]	82	154	164	108	97	168	264	244	194	221	90.37185769370242	144.91821432781342	136.58510857248976	108.46631462828609	89.10883289547328	176.80390909646778	223.51283784264132	241.69283838171884	217.5792622398051	216.41908887771447
ENSDARG00000026759	4.7882217967780885e-9	1.894767768153615e-6	0.4637992958650062	6	102506	109626	1	protein_coding	ldlrb	low density lipoprotein receptor b [Source:ZFIN;Acc:ZDB-GENE-040426-1254]	339	362	462	378	413	513	665	477	424	520	373.6104848556722	340.651906406938	384.7702448810382	379.6321011990013	379.4015256271182	539.8833652767141	563.015292293017	472.48968814786843	475.5340576787493	509.2213855946223
ENSDARG00000056587	5.9039111013900796e-9	2.2627337645379113e-6	-0.9299616282408871	7	27455321	27697234	1	protein_coding	cyp2r1	cytochrome P450, family 2, subfamily R, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-110114-1]	163	219	203	155	185	86	108	89	83	101	179.6416195618719	206.08499310253984	169.06571365985013	155.6692478461513	169.94983593466554	90.5067629898585	91.43707002653508	88.15845334415155	93.0880348757929	98.90646143280165
ENSDARG00000033144	5.922317614765291e-9	2.2627337645379113e-6	0.8745173190383725	12	13319132	13331980	1	protein_coding	psme2	proteasome activator subunit 2 [Source:ZFIN;Acc:ZDB-GENE-991110-16]	115	185	165	219	140	252	293	301	312	288	126.74101993628997	174.0900626665291	137.4179446003708	219.94558244069123	128.61068665326042	265.20586364470165	248.06538442384056	298.1538702987597	349.9212877258721	282.03030586779084
ENSDARG00000092714	7.0041882332263685e-9	2.6307256143779038e-6	1.3245511856319625	4	13499264	13502549	-1	protein_coding	si:ch211-266a5.12	si:ch211-266a5.12 [Source:ZFIN;Acc:ZDB-GENE-081104-210]	21	21	27	29	23	45	63	66	51	67	23.144012336192084	19.761574681065465	22.486572752787946	29.125214113150893	21.128898521607066	47.35818993655387	53.338290848812136	65.37593169341575	57.19867203211371	65.61121699007634
ENSDARG00000103846	7.509898584884396e-9	2.7736558773506366e-6	0.44428649703383055	5	2713779	2721686	-1	protein_coding	hspa5	heat shock protein 5 [Source:NCBI gene;Acc:378848]	1450	1874	1888	1531	1780	1710	2847	2395	1976	2276	1598.0389470227867	1763.4852834436515	1572.3944206393942	1537.6104416287592	1635.1930160200252	1799.6112175890469	2410.382762643939	2372.353884935314	2216.16815559719	2228.822833871847
ENSDARG00000101567	9.22797384866167e-9	3.3523262374810265e-6	0.6664672214886601	22	1092479	1109547	1	protein_coding	guca1e	guanylate cyclase activator 1e [Source:ZFIN;Acc:ZDB-GENE-040426-1577]	153	200	211	180	219	321	365	254	243	287	168.6206613065423	188.20547315300442	175.7284018828984	180.77719104714348	201.18385983617162	337.8217548807509	309.0234311081973	251.59828257769092	272.53484909418887	281.0510339724166
ENSDARG00000014386	9.934536856784396e-9	3.5507957539732617e-6	0.545602402651465	23	26763338	26784771	-1	protein_coding	galnt6	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6 (GalNAc-T6) [Source:ZFIN;Acc:ZDB-GENE-040426-2272]	267	313	349	407	340	391	550	518	423	479	294.2595854172993	294.54156548445195	290.6597737304812	408.7573153121522	312.340239015061	411.4900503376125	465.6517455055028	513.102009351354	474.4125150898843	469.0712378842771
ENSDARG00000033587	1.0529364167311981e-8	3.703662062660849e-6	1.5417109090922712	20	2039518	2054547	1	protein_coding	CABZ01088134.1	enoyl-[acyl-carrier-protein] reductase, mitochondrial-like [Source:NCBI gene;Acc:101884755]	23	24	21	24	18	48	46	82	71	59	25.348203987257996	22.584656778360532	17.489556585501738	24.103625472952462	16.53565971256205	50.51540259899079	38.94541871500569	81.22464240697109	79.62952380941321	57.77704182708215
