Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description
ENSDARG00000088439	1.0270186684666642e-6	2.508465489701105e-4	-0.38534098938115335	14	26224541	26227970	1	protein_coding	gm2a	GM2 ganglioside activator [Source:ZFIN;Acc:ZDB-GENE-050417-373]
ENSDARG00000033832	1.0457011443493584e-6	2.5268285616248873e-4	-0.25280000098229916	8	11080571	11112058	-1	protein_coding	ampd1	adenosine monophosphate deaminase 1 (isoform M) [Source:ZFIN;Acc:ZDB-GENE-040426-1906]
ENSDARG00000099411	1.0567850026606395e-6	2.5268285616248873e-4	-0.5289733131020523	5	9823754	9824908	-1	protein_coding	zgc:158343	zgc:158343 [Source:NCBI gene;Acc:568780]
ENSDARG00000020573	1.2235768215544584e-6	2.895161198084325e-4	0.14038003752063147	9	33334501	33354738	1	protein_coding	ddx3xa	DEAD-box helicase 3 X-linked a [Source:ZFIN;Acc:ZDB-GENE-030131-1565]
ENSDARG00000090526	1.428663674822318e-6	3.3455768426380363e-4	-0.8249985963884124	12	30540911	30549022	-1	protein_coding	zgc:158404	zgc:158404 [Source:ZFIN;Acc:ZDB-GENE-070112-592]
ENSDARG00000090969	1.6088690497160465e-6	3.729128618806122e-4	0.5737657595825072	15	556956	568645	-1	protein_coding	cbln18	cerebellin 18 [Source:ZFIN;Acc:ZDB-GENE-111109-3]
ENSDARG00000040705	1.6298741758656919e-6	3.7396557479585043e-4	0.26437734402673124	9	41273231	41351426	-1	protein_coding	glsb	glutaminase b [Source:ZFIN;Acc:ZDB-GENE-030616-550]
ENSDARG00000068374	1.6809529356306433e-6	3.8182845932850065e-4	-0.4242540986823919	18	40668615	40684792	-1	protein_coding	si:ch211-132b12.7	si:ch211-132b12.7 [Source:ZFIN;Acc:ZDB-GENE-050419-250]
ENSDARG00000039677	1.7234127925563703e-6	3.8759724339522725e-4	0.4946093905137454	20	7262434	7293837	-1	protein_coding	dsc2l	desmocollin 2 like [Source:ZFIN;Acc:ZDB-GENE-031116-55]
ENSDARG00000096874	1.768230889867342e-6	3.937780849346733e-4	-0.40129264107040796	7	66565572	66576522	1	protein_coding	tmem176l.3b	transmembrane protein 176l.3b [Source:ZFIN;Acc:ZDB-GENE-080829-14]
ENSDARG00000041691	1.8526896006643604e-6	4.085810124183587e-4	-0.3801800631355244	18	16125852	16130165	1	protein_coding	bhlhe41	basic helix-loop-helix family, member e41 [Source:ZFIN;Acc:ZDB-GENE-050419-146]
ENSDARG00000117613	1.9060319778932042e-6	4.1630304209465516e-4	-0.7688378286549741	23	5132439	5141915	1	lincRNA	CABZ01030033.1	NA
ENSDARG00000017780	1.9609390056872356e-6	4.24216471563672e-4	0.2881630249967304	2	49417900	49454451	1	protein_coding	rorcb	RAR-related orphan receptor C b [Source:ZFIN;Acc:ZDB-GENE-040724-215]
ENSDARG00000102430	2.0177010059422436e-6	4.2911278391306087e-4	-0.497735890836803	11	44858979	44876005	-1	protein_coding	opn6a	opsin 6, group member a [Source:ZFIN;Acc:ZDB-GENE-061201-30]
ENSDARG00000029075	2.0280793185789803e-6	4.2911278391306087e-4	0.3858550042816104	6	39993605	40029423	-1	protein_coding	pfkfb4b	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4b [Source:ZFIN;Acc:ZDB-GENE-031031-4]
ENSDARG00000053091	2.0402456818230496e-6	4.2911278391306087e-4	0.261271539228305	5	43860564	43959972	-1	protein_coding	DAB2	si:ch211-204c21.1 [Source:ZFIN;Acc:ZDB-GENE-030429-35]
ENSDARG00000036848	2.1394034056813022e-6	4.4583989321147506e-4	0.4550292534766429	15	28368644	28405742	1	protein_coding	slc43a2a	solute carrier family 43 member 2a [Source:ZFIN;Acc:ZDB-GENE-040426-964]
ENSDARG00000075016	2.1764142688376822e-6	4.494295465149814e-4	-1.0301824665928547	20	53439665	53470252	1	protein_coding	apobb.2	apolipoprotein Bb, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-070705-554]
ENSDARG00000021443	2.2241071215508716e-6	4.5514047987412653e-4	-0.2203607292736677	20	9575374	9580446	-1	protein_coding	zfp36l1b	zinc finger protein 36, C3H type-like 1b [Source:ZFIN;Acc:ZDB-GENE-030131-2391]
ENSDARG00000088741	2.7953011124484658e-6	5.625760666256467e-4	0.26965217388001766	16	14093781	14167673	-1	lincRNA	BX322530.1	NA
ENSDARG00000087911	2.7986394685757463e-6	5.625760666256467e-4	0.4189460805943588	13	35689749	35744963	1	protein_coding	psme4a	proteasome activator subunit 4a [Source:NCBI gene;Acc:793897]
ENSDARG00000055080	2.9456611845844818e-6	5.869359105950571e-4	-0.2564733510799139	7	22796083	22801248	1	protein_coding	rbm4.2	RNA binding motif protein 4.2 [Source:ZFIN;Acc:ZDB-GENE-030131-3019]
ENSDARG00000062315	3.0974056541304254e-6	6.06930825143414e-4	0.20717724082168618	15	21779681	21837515	-1	protein_coding	sik2b	salt-inducible kinase 2b [Source:ZFIN;Acc:ZDB-GENE-071012-1]
ENSDARG00000028096	3.099448633794234e-6	6.06930825143414e-4	-0.4085872332975694	10	15046837	15048781	-1	protein_coding	cldn23a	claudin 23a [Source:ZFIN;Acc:ZDB-GENE-091204-28]
ENSDARG00000057408	3.248955362721752e-6	6.307694108053384e-4	0.6158531531991699	15	45668851	45674213	-1	protein_coding	CABZ01067232.1	otolin-1-like [Source:NCBI gene;Acc:101886389]
ENSDARG00000078093	3.3956631768156023e-6	6.536651615370034e-4	-1.6946376054735983	7	2236317	2242989	1	protein_coding	zgc:172065	zgc:172065 [Source:ZFIN;Acc:ZDB-GENE-080214-2]
ENSDARG00000103846	3.6626504923032514e-6	6.991353439720029e-4	-0.3449091867975585	5	2713779	2721686	-1	protein_coding	hspa5	heat shock protein 5 [Source:NCBI gene;Acc:378848]
ENSDARG00000100020	3.7387413615576936e-6	7.077125835648584e-4	-0.24804004241697036	8	10304981	10308771	1	protein_coding	pim1	Pim-1 proto-oncogene, serine/threonine kinase [Source:ZFIN;Acc:ZDB-GENE-061013-139]
ENSDARG00000094511	3.9071828429573165e-6	7.30903556606491e-4	-1.2910385449384507	24	26006730	26009612	1	protein_coding	ccl20b	chemokine (C-C motif) ligand 20b [Source:ZFIN;Acc:ZDB-GENE-091204-95]
ENSDARG00000069381	3.925610121329162e-6	7.30903556606491e-4	-1.9399491162427602	9	33061564	33063083	-1	protein_coding	si:ch211-125e6.5	si:ch211-125e6.5 [Source:ZFIN;Acc:ZDB-GENE-070912-39]
ENSDARG00000105643	3.997011121509531e-6	7.381472164641383e-4	0.5551322928722094	7	28648706	28658143	-1	protein_coding	adgrg1	adhesion G protein-coupled receptor G1 [Source:ZFIN;Acc:ZDB-GENE-030131-3671]
ENSDARG00000088589	4.173670194189374e-6	7.645557940404164e-4	0.9898803592365639	7	22675475	22677211	1	protein_coding	ponzr3	plac8 onzin related protein 3 [Source:ZFIN;Acc:ZDB-GENE-050506-38]
ENSDARG00000099954	4.345447604390373e-6	7.896547386698187e-4	0.27410661659776464	12	4920451	4963153	1	protein_coding	plekhm1	pleckstrin homology domain containing, family M (with RUN domain) member 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2752]
ENSDARG00000090833	5.193633594505396e-6	9.362967230094449e-4	0.5442060268193019	23	36601984	36605837	1	protein_coding	igfbp6b	insulin-like growth factor binding protein 6b [Source:ZFIN;Acc:ZDB-GENE-090521-2]
ENSDARG00000038643	5.527862342576985e-6	9.887038827687891e-4	0.5728704436905353	8	21353878	21369028	1	protein_coding	alas2	aminolevulinate, delta-, synthase 2 [Source:NCBI gene;Acc:64607]
