Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	Cnt_1 count	Cnt_2 count	Cnt_3 count	Cnt_4 count	Cnt_6 count	Oxy_1 count	Oxy_2 count	Oxy_3 count	Oxy_4 count	Oxy_5 count	Oxy_6 count	Cnt_1 normalised count	Cnt_2 normalised count	Cnt_3 normalised count	Cnt_4 normalised count	Cnt_6 normalised count	Oxy_1 normalised count	Oxy_2 normalised count	Oxy_3 normalised count	Oxy_4 normalised count	Oxy_5 normalised count	Oxy_6 normalised count
ENSDARG00000098761	2.2465281930913937e-18	4.4123856010672325e-15	-1.5716185468076886	22	24246213	24248420	-1	protein_coding	rgs2	regulator of G protein signaling 2 [Source:ZFIN;Acc:ZDB-GENE-040718-410]	144	163	195	167	122	42	42	56	51	47	74	158.7017988767457	153.3874606196986	162.40302543680184	167.72106058262756	112.07502694069835	41.64709957382721	42.31424793800465	48.22709528729442	56.46005519556687	47.77264976427594	67.73382576208778
ENSDARG00000075048	7.182498407491316e-18	1.2931489841154157e-14	0.48355132652530525	14	34068075	34092744	1	protein_coding	lonrf1	LON peptidase N-terminal domain and ring finger 1 [Source:ZFIN;Acc:ZDB-GENE-101021-4]	541	698	724	584	680	784	910	1005	743	854	979	596.2338416133293	656.8371013039855	602.9732841858694	586.5215531751766	624.680478030122	777.412525378108	916.808705323434	865.5041207809087	822.5455100060037	868.0392106104606	896.1002083930262
ENSDARG00000079227	1.7218457175113642e-16	2.8615751328333094e-13	-1.2693426452003513	12	30517386	30523229	-1	protein_coding	plekhs1	pleckstrin homology domain containing, family S member 1 [Source:ZFIN;Acc:ZDB-GENE-080204-50]	234	404	341	358	383	107	143	147	167	102	163	257.89042317471177	380.17505576906893	283.997085507433	359.54574663820756	351.8420927728481	106.10094415236934	144.0699394079682	126.59612512914784	184.87900426783662	103.67681438204565	149.19748107054468
ENSDARG00000077799	4.956772496051322e-16	7.649362126942059e-13	-0.9384838320592722	23	45579497	45581626	1	protein_coding	egr4	early growth response 4 [Source:ZFIN;Acc:ZDB-GENE-080204-90]	338	383	428	233	396	145	172	197	171	159	239	372.50838903013926	360.4134810880035	356.453819933083	234.0060306332468	363.7845136763651	143.78165329059397	173.28692012706665	169.65603163566072	189.30724389101835	161.61385771318882	218.76195077214837
ENSDARG00000021443	2.8515467910763886e-15	4.1071778947470245e-12	-0.3685101223306641	20	9575374	9580446	-1	protein_coding	zfp36l1b	zinc finger protein 36, C3H type-like 1b [Source:ZFIN;Acc:ZDB-GENE-030131-2391]	1593	2143	2403	1824	2224	1476	1562	1654	1364	1487	1634	1755.6386500739993	2016.6216448344423	2001.3049749981274	1831.8755359443871	2043.0726222632225	1463.5980707373565	1573.687030456268	1424.4217072354459	1510.029711504965	1511.4453233931558	1495.6360985844788
ENSDARG00000091131	1.7310395388698436e-11	2.3374443273301858e-8	0.5024561463331265	22	786556	809282	1	protein_coding	cry3b	cryptochrome circadian regulator 3b [Source:ZFIN;Acc:ZDB-GENE-010426-5]	578	817	727	516	769	896	883	1118	769	986	991	637.0113871580487	768.819357830023	605.4717922695125	518.2279476684779	706.4401288311232	888.4714575749806	889.6066887918596	962.8195094856278	851.3290675566849	1002.209205693108	907.0840720301214
ENSDARG00000074378	2.1488498644178334e-11	2.7309353718086643e-8	-0.6105039091157676	1	51732979	51734535	-1	protein_coding	junba	JunB proto-oncogene, AP-1 transcription factor subunit a [Source:ZFIN;Acc:ZDB-GENE-040426-2172]	265	437	367	350	418	227	237	256	220	196	268	292.0553937662334	411.22895883931466	305.65082223233986	351.51120481389006	383.9947644361632	225.09265722044708	238.77325622159765	220.4667213133459	243.55317927499436	199.22211391059753	245.3062878951287
ENSDARG00000105590	6.889476777822655e-11	7.932296969262946e-8	0.643394136441925	7	2021025	2047639	-1	protein_coding	si:cabz01007794.1	si:cabz01007794.1 [Source:ZFIN;Acc:ZDB-GENE-160728-147]	941	871	1572	999	1092	1803	1486	2149	1526	1503	1471	1037.072171826512	819.6348355813343	1309.2182358289872	1003.3134103116462	1003.1633558954311	1787.8504888478683	1497.1183913303548	1850.7147816499232	1689.3734162438245	1527.7083531001433	1346.438617513934
ENSDARG00000100504	6.975868660772783e-11	7.932296969262946e-8	-0.6812359597730547	6	18196961	18199062	-1	protein_coding	ppp1r27b	protein phosphatase 1, regulatory subunit 27b [Source:ZFIN;Acc:ZDB-GENE-051023-5]	294	374	444	448	344	232	173	273	221	201	291	324.01617270668913	351.9442347961183	369.77919637917955	449.9343421617793	316.014830062297	230.05064526495033	174.29440222082866	235.10708952556027	244.6602391807898	204.30431069403113	266.3586931995614
ENSDARG00000100106	1.1493254714347758e-10	1.2415588405174166e-7	-1.0777935388372515	12	43852970	43982343	-1	protein_coding	CR385054.1	NA	133	233	244	217	189	91	111	127	87	57	88	146.57874479588318	219.25937622325014	203.21199080297257	217.93694698461184	173.62442698190154	90.23538240995896	111.8305124075837	109.3721625265427	96.31421180420232	57.93704333114316	80.54833333869898
ENSDARG00000113076	2.0436475280948436e-10	2.1025240402137666e-7	-1.3195993410052778	12	43848634	44024244	-1	protein_coding	si:ch211-182p11.1	si:ch211-182p11.1 [Source:ZFIN;Acc:ZDB-GENE-131127-323]	386	851	699	616	532	233	226	296	276	141	262	425.40898865572115	800.8142882660338	582.1523834888435	618.6597204724466	488.72060928238955	231.04224287385097	227.69095319021548	254.9146465185562	305.5485339995384	143.31794929282782	239.81435607658105
ENSDARG00000069946	2.2718448679864097e-10	2.1932021532416747e-7	0.5507683049546043	1	31019165	31064706	1	protein_coding	itga6b	integrin, alpha 6b [Source:ZFIN;Acc:ZDB-GENE-050320-5]	659	848	1159	741	922	1289	1243	1543	1064	1019	1209	726.2811490262183	797.9912061687388	965.2569563141196	744.1994364774073	846.9932363879007	1278.1693178729352	1252.300242546185	1328.8287147909873	1177.9117397663365	1035.7517044637698	1106.624261437353
ENSDARG00000007769	2.630859168682376e-10	2.1932021532416747e-7	-1.2986992442961032	7	56602521	56606752	-1	protein_coding	sult5a1	sulfotransferase family 5A, member 1 [Source:ZFIN;Acc:ZDB-GENE-060929-978]	54	195	129	170	151	56	61	67	49	33	65	59.51317457877964	183.5003363241793	107.43584759665353	170.7340137667466	138.71581203315944	55.52946609843629	61.45640771948294	57.70027471872725	54.24593538397602	33.54249877066183	59.49592803426629
ENSDARG00000093936	2.6531912000976154e-10	2.1932021532416747e-7	-1.8730983165470647	18	7591381	7593581	1	protein_coding	si:dkeyp-1h4.6	si:dkeyp-1h4.6 [Source:ZFIN;Acc:ZDB-GENE-060503-841]	266	804	513	966	562	164	135	184	182	148	177	293.15748959176636	756.5860020750778	427.244882302971	970.1709252863366	516.2800421366596	162.62200785970626	136.01008265787206	158.46045594396736	201.48490285476808	150.43302478963486	162.0119886471559
ENSDARG00000074150	2.7316133971513217e-10	2.1932021532416747e-7	-1.7727443763187754	12	46231498	46252062	-1	protein_coding	si:ch211-226h7.5	si:ch211-226h7.5 [Source:ZFIN;Acc:ZDB-GENE-130531-3]	25	84	73	59	50	8	18	19	12	13	29	27.552395638323908	79.04629872426186	60.797030035315565	59.254745954341466	45.93238809045015	7.932780871205184	18.134677687716277	16.36276447247489	13.284718869545147	13.213711636927387	26.544337122980345
ENSDARG00000020573	2.737544668493539e-10	2.1932021532416747e-7	0.18123554216347731	9	33334501	33354738	1	protein_coding	ddx3xa	DEAD-box helicase 3 X-linked a [Source:ZFIN;Acc:ZDB-GENE-030131-1565]	1966	2369	2659	2128	2444	2534	2498	2882	2231	2458	2714	2166.7203929977923	2229.2938294973374	2214.5109981356723	2137.1881252684516	2245.175129861203	2512.708340954242	2516.6902702175144	2481.9730110354017	2469.850649829602	2498.407938735963	2484.183825923057
ENSDARG00000043093	2.7408682313133634e-10	2.1932021532416747e-7	-0.94298615801436	8	19356072	19359834	1	protein_coding	mpeg1.2	macrophage expressed 1, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-050522-305]	516	970	862	890	811	422	441	508	388	300	395	568.6814459750054	912.7965447920715	717.9046560334523	893.8427779553205	745.0233348271013	418.45419095607343	444.29960334904877	437.4886501061708	429.53924344862645	304.93180700601664	361.55217805438747
ENSDARG00000044356	3.123123031668668e-10	2.4098240392571994e-7	0.5082970611505624	6	28795780	28914225	1	protein_coding	tp63	tumor protein p63 [Source:ZFIN;Acc:ZDB-GENE-030819-1]	431	583	750	513	544	842	679	982	680	665	827	475.00330080470417	548.6189542410079	624.6270209107763	515.2149944843588	499.7443824240976	834.9251866943456	684.0803416644084	845.6965637879127	752.8007359408917	675.9321721966702	756.9712689898188
ENSDARG00000093494	3.355997565727421e-10	2.5002181864669286e-7	-0.546199555565619	1	52398205	52400660	1	protein_coding	si:ch211-217k17.9	si:ch211-217k17.9 [Source:ZFIN;Acc:ZDB-GENE-061207-21]	585	809	1035	731	804	498	478	617	563	477	508	644.7260579367794	761.291138903903	861.9852888568713	734.1562591970104	738.5928004944383	493.81560923252266	481.5764408182433	531.3592462903688	623.2747269628265	484.84157313956644	464.983560637035
ENSDARG00000028507	3.4946683366409767e-10	2.516743647104277e-7	0.5456052818899174	8	13106760	13159587	1	protein_coding	itgb4	integrin, beta 4 [Source:ZFIN;Acc:ZDB-GENE-030131-7209]	1090	1210	1624	1316	1332	1971	1668	2651	1505	1816	1633	1201.2844498309223	1138.6431125756767	1352.525709278801	1321.6821301002267	1223.6388187295918	1954.4388871431772	1680.4801323950417	2283.0362429753122	1666.1251582221205	1845.8538717430872	1494.7207766147208
ENSDARG00000070041	3.892200953815372e-10	2.712612955070358e-7	-1.526335473831961	12	30528623	30540755	-1	protein_coding	zgc:153920	zgc:153920 [Source:ZFIN;Acc:ZDB-GENE-061013-702]	34	94	58	77	82	26	22	28	28	18	17	37.47125806812051	88.45657238191208	48.30448961710003	77.33246505905582	75.32911646833824	25.78153783141685	22.16460606276434	24.11354764364721	30.99767736227201	18.295908420361	15.56047348588503
ENSDARG00000039117	5.854164253196462e-10	3.9524755840721737e-7	0.29742293162371375	12	19144833	19153177	-1	protein_coding	tefa	TEF transcription factor, PAR bZIP family member a [Source:ZFIN;Acc:ZDB-GENE-990415-264]	1363	1667	1910	1442	1647	1844	1853	2019	1896	1768	2101	1502.1566102014194	1568.692618730292	1590.716813252777	1448.226163833227	1513.0128636994277	1828.5059908127948	1866.8643197410145	1738.7590247329897	2098.985581388133	1797.0647826221245	1923.0914584614382
ENSDARG00000058606	7.204533242101185e-10	4.654929357850527e-7	-0.354297337876438	9	9112159	9122562	1	protein_coding	sik1	salt-inducible kinase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9446]	1215	1474	1580	1234	1434	1002	1059	1225	904	1092	1058	1339.046428022542	1387.0743371376427	1315.8809240520354	1239.3280764009723	1317.3408904341102	993.5808041184492	1066.9235372939743	1054.9677094095653	1000.7821548390677	1109.9517775019006	968.4106440039036
ENSDARG00000068951	7.325507899417631e-10	4.654929357850527e-7	-2.075191341088875	18	15758375	15768336	1	protein_coding	si:ch211-219a15.4	si:ch211-219a15.4 [Source:ZFIN;Acc:ZDB-GENE-060503-308]	47	119	59	134	103	26	22	16	18	11	36	51.79850380004895	111.98225652603763	49.13732564498107	134.57857555731792	94.6207194663273	25.78153783141685	22.16460606276434	13.779170082084118	19.92707830431772	11.180832923553943	32.95159091128595
ENSDARG00000053761	9.534198602669113e-10	5.885324594590463e-7	-0.9172683632095734	7	2228276	2234151	1	protein_coding	si:dkey-187j14.4	si:dkey-187j14.4 [Source:ZFIN;Acc:ZDB-GENE-131119-26]	124	188	209	226	215	95	82	112	105	74	126	136.65988236608658	176.91314476382416	174.06272982713634	226.97580653696903	197.50926878893563	94.20177284556155	82.61353168848525	96.45419057458884	116.24129010852003	75.21651239481743	115.33056818950081
ENSDARG00000076196	1.6024574369058726e-9	9.616970256764271e-7	-1.5190805457626528	12	46209859	46228023	-1	protein_coding	si:ch211-226h7.6	si:ch211-226h7.6 [Source:ZFIN;Acc:ZDB-GENE-130531-12]	35	58	34	33	32	14	12	20	9	9	15	38.57335389365347	54.57958721437129	28.31642494795519	33.14248502530963	29.396728377888092	13.882366524609072	12.089785125144184	17.223962602605148	9.96353915215886	9.1479542101805	13.729829546369144
ENSDARG00000035309	1.9745108404878203e-9	1.152954235371334e-6	0.41338031003508285	16	8258203	8280885	-1	protein_coding	entpd3	ectonucleoside triphosphate diphosphohydrolase 3 [Source:ZFIN;Acc:ZDB-GENE-030131-6186]	308	342	444	340	348	488	456	522	425	414	463	339.4455142641505	321.8313590916376	369.77919637917955	341.4680275334932	319.689421109533	483.8996331435162	459.411834755479	449.54542392799436	470.5004599630573	420.80589366830293	423.7940719979276
ENSDARG00000026759	4.9826559190484584e-9	2.8329021350274195e-6	0.4443706392705845	6	102506	109626	1	protein_coding	ldlrb	low density lipoprotein receptor b [Source:ZFIN;Acc:ZDB-GENE-040426-1254]	339	362	462	378	413	564	504	581	438	526	490	373.6104848556722	340.651906406938	384.7702448810382	379.6321011990013	379.4015256271182	559.2610514199655	507.77097525605575	500.3561136056796	484.8922387383979	534.6471016172158	448.507765181392
ENSDARG00000069566	8.996218805452229e-9	4.9836745459434724e-6	-0.949936079923356	1	45149844	45157243	-1	protein_coding	mucms1	mucin, multiple PTS and SEA group, member 1 [Source:ZFIN;Acc:ZDB-GENE-061009-17]	96	169	156	137	118	78	58	70	76	43	82	105.80119925116381	159.03362481428874	129.92242034944147	137.59152874143697	108.40043589346234	77.34461349425054	58.43396143819689	60.28386910911802	84.1365528404526	43.70689233752905	75.05640152015131
ENSDARG00000098108	1.0105077382466193e-8	5.458004921204552e-6	-0.3716264050216675	8	40628926	40633991	1	protein_coding	dusp2	dual specificity phosphatase 2 [Source:ZFIN;Acc:ZDB-GENE-040801-188]	433	433	543	439	495	322	356	426	336	320	358	477.2074924557701	407.46484937625456	452.22996313940206	440.8954826094221	454.7306420954564	319.29443006600866	358.66362537927745	366.87040343548966	371.9721283472641	325.26059413975105	327.68526517334357
ENSDARG00000100826	1.1123714685453653e-8	5.8616550190055164e-6	0.3280238525275775	15	25501864	25527581	-1	protein_coding	hif1al	hypoxia inducible factor 1 subunit alpha, like [Source:ZFIN;Acc:ZDB-GENE-040426-1315]	2708	2900	4111	3095	3089	4128	3543	4511	3194	3578	4371	2984.475495543246	2728.9793607185643	3423.7889106189355	3108.363368282828	2837.70293622801	4093.314929541875	3569.50905819882	3884.8647650175913	3535.9493391106002	3636.8200182250916	4000.8723298119685
ENSDARG00000109240	1.2265818443344357e-8	6.3095954159155915e-6	-2.652990012916299	KN150297.1	87	5872	-1	protein_coding	CABZ01067080.1	interferon-induced very large GTPase 1-like [Source:NCBI gene;Acc:101883914]	12	54	36	73	14	8	3	3	5	8	8	13.225149906395476	50.81547775131119	29.982097003717264	73.31519414689707	12.86106866532604	7.932780871205184	3.022446281286046	2.5835943903907723	5.535299528977145	8.131514853493776	7.322575758063543
ENSDARG00000074508	1.3796089139869499e-8	6.931732694578617e-6	-0.3201021737120937	11	11595973	11625630	-1	protein_coding	si:dkey-28e7.3	si:dkey-28e7.3 [Source:ZFIN;Acc:ZDB-GENE-141215-28]	877	997	1100	863	976	729	738	854	656	779	750	966.5380389924027	938.204283667727	916.1196306691386	866.726199298249	896.6002155255868	722.8746568885723	743.5217851963673	735.4632031312399	726.2312982018013	791.8062588589565	686.4914773184572
ENSDARG00000010572	1.5734816902737903e-8	7.726152708719373e-6	-0.4998908714881988	8	2606068	2616326	-1	protein_coding	slc25a25a	solute carrier family 25 member 25a [Source:NCBI gene;Acc:406541]	693	602	861	732	727	533	515	558	485	419	478	763.7524070943388	566.4984741905433	717.0718200055712	735.1605769250501	667.856922835145	528.5215255440454	518.8532782874379	480.5485566126836	536.924054310783	425.88809045173656	437.52390154429673
ENSDARG00000103720	1.677628390688731e-8	8.054480306851118e-6	-0.4825800389056796	15	13984879	13986761	1	protein_coding	NA	zgc:162730 [Source:ZFIN;Acc:ZDB-GENE-030131-6366]	1667	2075	2460	1997	2166	1603	1288	1732	1200	1092	1777	1837.193741163438	1952.631783962421	2048.7766285873463	2005.6225028952529	1989.7910520783003	1589.5309670677386	1297.6369367654759	1491.595161385606	1328.4718869545147	1109.9517775019006	1626.5271402598646
ENSDARG00000058285	2.2911799012033687e-8	1.0761074296847562e-5	0.3536391471387836	18	8340886	8367566	1	protein_coding	cpt1b	carnitine palmitoyltransferase 1B (muscle) [Source:ZFIN;Acc:ZDB-GENE-041010-9]	371	396	537	402	472	521	505	593	553	526	540	408.8775512727268	372.64683684294874	447.2329469721158	403.7357266719537	433.6017435738494	516.6223542372376	508.77845734981776	510.69049116724267	612.2041279048722	534.6471016172158	494.2738636692892
ENSDARG00000038524	3.159451787259075e-8	1.4523394864623898e-5	-0.1595548117406428	5	54765702	54792239	-1	protein_coding	pik3r1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha) [Source:ZFIN;Acc:ZDB-GENE-030131-1280]	4394	5022	5901	4971	5159	4459	4105	4862	3971	4525	4678	4842.60905739181	4725.839430871941	4914.5654005259885	4992.463426085279	4739.3038031726455	4421.533738087989	4135.713994893073	4187.145308693312	4396.134885913649	4599.388089007417	4281.876174527657
ENSDARG00000013794	3.364143400795763e-8	1.5142149619623431e-5	0.5668790846983599	17	32365941	32370047	-1	protein_coding	klf11b	Kruppel-like factor 11b [Source:ZFIN;Acc:ZDB-GENE-061103-82]	251	236	331	262	280	353	381	400	339	361	524	276.626052208772	222.08245832054521	275.66872522862263	263.1312447463977	257.22137330652083	350.03395594192875	383.85067772332786	344.479252052103	375.29330806465043	366.9346077639067	479.6287121531621
ENSDARG00000043856	4.075997613942061e-8	1.7971822132493517e-5	0.2625680732188934	20	2950005	2978968	1	protein_coding	amd1	adenosylmethionine decarboxylase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-760]	2150	2419	2802	2273	2662	2924	2732	3393	2592	2769	2837	2369.506024895856	2276.3451977855884	2333.6065501226603	2282.814195834206	2445.440341935566	2899.4314084254947	2752.441080157826	2922.0452555319634	2869.499275821752	2814.5205786655333	2596.768428203284
ENSDARG00000091260	5.0025501661838104e-8	2.1616019268080246e-5	0.4046635549209092	2	394166	424925	1	protein_coding	mylk4a	myosin light chain kinase family, member 4a [Source:ZFIN;Acc:ZDB-GENE-120824-2]	360	456	566	407	514	631	645	640	492	604	528	396.7544971918643	429.1084787888501	471.3851917806659	408.7573153121522	472.1849495698275	625.6980912163089	649.8259504764999	551.1668032833647	544.6734736513511	613.9293714387801	483.29000003219386
ENSDARG00000089372	6.949397606964062e-8	2.943955594087423e-5	-0.34187264931477224	14	6933400	6943934	-1	protein_coding	clk4a	CDC-like kinase 4a [Source:ZFIN;Acc:ZDB-GENE-030131-576]	2221	3139	2873	2258	2873	2058	1963	2287	1878	1926	2189	2447.754828508696	2953.8849011364046	2392.7379081022136	2267.7494299136106	2639.2750196772654	2040.7078791175336	1977.687350054836	1969.5601236078987	2079.0585030838156	1957.6622009786267	2003.6397918001371
ENSDARG00000023062	8.114311006998382e-8	3.3713401789653855e-5	-0.4212996882808154	23	45456490	45465320	1	protein_coding	ccn1	cellular communication network factor 1 [Source:ZFIN;Acc:ZDB-GENE-040426-3]	400	386	543	432	523	337	334	416	271	287	352	440.83833021318253	363.23656318529856	452.22996313940206	433.86525851314434	480.4527794261085	334.16839419951833	336.4990193165131	358.25842213418707	300.01323447056126	291.7180953690892	322.1933333547959
ENSDARG00000019498	9.153842281793851e-8	3.7314860848708705e-5	0.9364758764986912	10	39264802	39283883	-1	protein_coding	cry5	cryptochrome circadian regulator 5 [Source:ZFIN;Acc:ZDB-GENE-010426-8]	29	69	56	38	43	74	84	88	88	92	95	31.960778940455732	64.93088823778653	46.638817561337966	38.16407366550806	39.501853757787124	73.37822305864795	84.6284958760093	75.78543545146265	97.42127170999775	93.51242081517843	86.95558712700458
ENSDARG00000061682	1.1355482325640505e-7	4.543244363804872e-5	0.49411336787393684	17	20983798	21049260	-1	protein_coding	bicc1a	BicC family RNA binding protein 1a [Source:ZFIN;Acc:ZDB-GENE-101223-3]	118	158	192	153	153	235	221	256	161	213	186	130.04730741288884	148.68232379087348	159.90451735315872	153.66061239007195	140.55310755677743	233.02543809165226	222.6535427214054	220.4667213133459	178.23664483306405	216.5015829742718	170.2498863749774
ENSDARG00000090337	1.3294894726752916e-7	5.2224763740272136e-5	0.4627335869486412	13	12007904	12021566	-1	protein_coding	pprc1	PPARG related coactivator 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9858]	350	445	489	340	464	549	574	605	550	576	483	385.7335389365347	418.75717776543485	407.25681763382613	341.4680275334932	426.25256147937733	544.3870872864558	578.2947218193968	521.0248687288057	608.8829481874859	585.469069451552	442.10051139308644
ENSDARG00000040334	1.601297077316168e-7	6.0627764740326844e-5	0.24355531098425193	10	7810455	7821686	-1	protein_coding	mat2aa	methionine adenosyltransferase II, alpha a [Source:ZFIN;Acc:ZDB-GENE-030131-2049]	1396	1476	1752	1299	1634	1730	1721	2026	1498	1674	1815	1538.525772444007	1388.9563918691726	1459.1287208475735	1304.608728723552	1501.0704427959106	1715.463863398121	1733.8766833644283	1744.7874116439016	1658.3757388815525	1701.5194830935727	1661.3093751106665
ENSDARG00000022309	1.6030572593660183e-7	6.0627764740326844e-5	0.3061254690444028	2	2110271	2162791	1	protein_coding	dspa	desmoplakin a [Source:ZFIN;Acc:ZDB-GENE-030131-2743]	1342	1559	1719	1518	1599	1947	1815	2302	1548	1751	1853	1479.0125978652275	1467.0616632276694	1431.6451319274993	1524.5543111642432	1468.9177711325956	1930.6405445295616	1828.5800001780578	1982.4780955598526	1713.728734171324	1779.7853135584503	1696.0916099614683
ENSDARG00000036767	1.627590999740318e-7	6.0627764740326844e-5	-1.427305377282005	19	7682109	7690975	-1	protein_coding	urgcp	upregulator of cell proliferation [Source:ZFIN;Acc:ZDB-GENE-120215-160]	362	671	590	897	562	253	203	257	170	155	315	398.9586888429302	631.4293624283298	491.3732564498107	900.8730020515983	516.2800421366596	250.87419505186392	204.5188650336891	221.32791944347616	188.20018398522294	157.54810028644192	288.326420473752
ENSDARG00000035859	2.753336041837117e-7	1.0082343251506935e-4	0.4138278943649321	2	24536762	24542518	1	protein_coding	angptl4	angiopoietin-like 4 [Source:ZFIN;Acc:ZDB-GENE-041111-222]	896	863	1201	849	1001	1189	1180	1294	1144	1071	1608	987.4778596775288	812.1066166552141	1000.2360694851232	852.6657511056933	919.5664095708119	1179.0095569828704	1188.8288706391781	1114.390380388553	1266.4765322299706	1088.6065510114793	1471.8377273707722
