Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	Cnt_1 count	Cnt_2 count	Cnt_3 count	Cnt_4 count	Cnt_6 count	Amp_1 count	Amp_2 count	Amp_3 count	Amp_4 count	Amp_5 count	Amp_6 count	Cnt_1 normalised count	Cnt_2 normalised count	Cnt_3 normalised count	Cnt_4 normalised count	Cnt_6 normalised count	Amp_1 normalised count	Amp_2 normalised count	Amp_3 normalised count	Amp_4 normalised count	Amp_5 normalised count	Amp_6 normalised count
ENSDARG00000093494	1.555323525466672e-18	3.2117430800886777e-15	-0.772155925667385	1	52398205	52400660	1	protein_coding	si:ch211-217k17.9	si:ch211-217k17.9 [Source:ZFIN;Acc:ZDB-GENE-061207-21]	585	809	1035	731	804	537	368	433	376	482	342	644.7260579367794	761.291138903903	861.9852888568713	734.1562591970104	738.5928004944383	493.5900827846191	365.30817142296854	413.7746982781081	434.80173521380976	509.3984506187326	413.49122907353853
ENSDARG00000032801	3.3465479130797062e-18	6.334736320467128e-15	-1.2966320682914954	10	2715548	2755378	1	protein_coding	grk5	G protein-coupled receptor kinase 5 [Source:ZFIN;Acc:ZDB-GENE-091204-274]	100	140	135	122	113	43	55	35	41	52	46	110.20958255329563	131.74383120710309	112.43286376393974	122.52676282084168	103.80719708441733	39.52397310938291	54.59768866375889	33.44599177767617	47.411891339803724	54.9558494443446	55.61577934907243
ENSDARG00000023656	4.744222611829217e-18	8.289616663669282e-15	-9.08493307391428	22	14093306	14094746	1	protein_coding	he1.1	hatching enzyme 1, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-021211-3]	202	3	248	132	177	0	0	0	0	1	0	222.62335675765718	2.8230820972950665	206.5433349144967	132.56994010123853	162.6006538401935	0	0	0	0	1.0568432585450884	0
ENSDARG00000097826	4.481406834061457e-17	7.271082588264714e-14	1.1914099813769465	12	39034225	39061186	1	protein_coding	si:dkey-239b22.2	si:dkey-239b22.2 [Source:ZFIN;Acc:ZDB-GENE-131120-8]	145	138	291	216	171	431	373	400	380	466	337	159.80389470227865	129.86177647557307	242.3552841133812	216.93262925657217	157.08876726933948	396.15889325916356	370.2715976651284	382.23990603058485	439.42728558842475	492.48895848201124	407.44603566603064
ENSDARG00000053761	6.904147144375207e-17	1.045518015896552e-13	-1.288266969193545	7	2228276	2234151	1	protein_coding	si:dkey-187j14.4	si:dkey-187j14.4 [Source:ZFIN;Acc:ZDB-GENE-131119-26]	124	188	209	226	215	78	60	71	59	74	87	136.65988236608658	176.91314476382416	174.06272982713634	226.97580653696903	197.50926878893563	71.69464889608993	59.561114905918785	67.84758332042881	68.2268680255712	78.20640113233655	105.18636529063699
ENSDARG00000070041	1.1730225412308697e-16	1.6653254390037004e-13	-2.1869730666865665	12	30528623	30540755	-1	protein_coding	zgc:153920	zgc:153920 [Source:ZFIN;Acc:ZDB-GENE-061013-702]	34	94	58	77	82	9	17	8	14	14	20	37.47125806812051	88.45657238191208	48.30448961710003	77.33246505905582	75.32911646833824	8.272459488010377	16.875649223343654	7.644798120611696	16.18942631115249	14.795805619631238	24.180773630031492
ENSDARG00000037421	1.9453274842534563e-16	2.599300812048074e-13	-0.5659082294197473	14	21332522	21336385	-1	protein_coding	egr1	early growth response 1 [Source:NCBI gene;Acc:30498]	1968	2827	2816	1927	2686	1753	1502	1770	1356	1348	1324	2168.924584648858	2660.2843630177176	2345.2662545129947	1935.3202619324748	2467.487888218982	1611.2912758313544	1491.0132431448335	1691.411584185338	1568.061576994484	1424.6247125187792	1600.7672143080847
ENSDARG00000077799	1.4410353853951553e-15	1.818506598847275e-12	-0.9271371116430163	23	45579497	45581626	1	protein_coding	egr4	early growth response 4 [Source:ZFIN;Acc:ZDB-GENE-080204-90]	338	383	428	233	396	169	166	199	170	148	169	372.50838903013926	360.4134810880035	356.453819933083	234.0060306332468	363.7845136763651	155.33840594152818	164.78575123970865	190.16435325021595	196.5858909211374	156.4128022646731	204.3275371737661
ENSDARG00000089806	1.882042840195458e-15	2.2500317428968333e-12	-7.849496180951048	12	16634442	16636627	-1	protein_coding	si:dkey-239j18.3	si:dkey-239j18.3 [Source:ZFIN;Acc:ZDB-GENE-121214-39]	88	4	119	61	52	0	1	0	0	0	0	96.98443264690016	3.7641094630600884	99.10748731784318	61.26338141042084	47.76968361406815	0	0.9926852484319797	0	0	0	0
ENSDARG00000040277	1.969136601114675e-14	2.236446894715992e-11	0.5145653669246746	16	25259313	25272633	1	protein_coding	fbxo32	F-box protein 32 [Source:ZFIN;Acc:ZDB-GENE-040426-1040]	1348	1725	1990	1757	1694	2504	2437	2470	2052	2073	1836	1485.6251728184252	1623.2722059446633	1657.3436954832598	1764.5862481657282	1556.189308504451	2301.5820619975534	2419.1739504287348	2360.3314197388613	2372.907342177494	2190.8360749639683	2219.7950192368908
ENSDARG00000074150	6.136277498535287e-13	6.637406827582336e-10	-2.1132815323773926	12	46231498	46252062	-1	protein_coding	si:ch211-226h7.5	si:ch211-226h7.5 [Source:ZFIN;Acc:ZDB-GENE-130531-3]	25	84	73	59	50	12	14	12	12	14	9	27.552395638323908	79.04629872426186	60.797030035315565	59.254745954341466	45.93238809045015	11.029945984013835	13.897593478047716	11.467197180917545	13.876651123844992	14.795805619631238	10.881348133514171
ENSDARG00000076844	6.732878632842343e-13	6.951697188409719e-10	-1.1586285319646836	16	28797703	28836529	-1	protein_coding	plin6	perilipin 6 [Source:ZFIN;Acc:ZDB-GENE-070410-23]	109	101	129	96	164	60	50	44	33	45	62	120.12844498309224	95.04376394226723	107.43584759665353	96.41450189180985	150.65823293667648	55.14972992006918	49.63426242159898	42.04638966336433	38.16079059057373	47.55794663452898	74.96039825309762
ENSDARG00000093936	1.405016987615471e-12	1.3876069945080617e-9	-2.1064906410552684	18	7591381	7593581	1	protein_coding	si:dkeyp-1h4.6	si:dkeyp-1h4.6 [Source:ZFIN;Acc:ZDB-GENE-060503-841]	266	804	513	966	562	126	98	70	158	128	190	293.15748959176636	756.5860020750778	427.244882302971	970.1709252863366	516.2800421366596	115.81443283214526	97.28315434633402	66.89198355535234	182.7092397972924	135.27593709377132	229.71734948529917
ENSDARG00000014975	1.8586731773846115e-12	1.7591567176788105e-9	-1.3364108513021749	16	25975426	25978063	-1	protein_coding	irge1	immunity-related GTPase family, e1 [Source:ZFIN;Acc:ZDB-GENE-051209-1]	81	90	109	102	86	43	42	19	35	26	38	89.26976186816947	84.69246291885199	90.77912703903283	102.44040826004796	79.00370751557425	39.52397310938291	41.692780434143145	18.15639553645278	40.47356577788123	27.4779247221723	45.943469897059835
ENSDARG00000020876	2.635143664325429e-12	2.394291533406085e-9	0.4230653213635479	12	28559408	28570989	-1	protein_coding	pdk2a	pyruvate dehydrogenase kinase, isozyme 2a [Source:ZFIN;Acc:ZDB-GENE-120910-1]	1871	1881	2586	2225	2221	2929	2827	2890	2386	2518	2340	2062.021289572161	1770.0724750040067	2153.713968100357	2234.6069448883013	2040.3166789777954	2692.22598226471	2806.3211973172065	2761.683321070975	2759.140798457846	2661.1313250165326	2829.1505147136845
ENSDARG00000099186	3.0174161517054074e-12	2.6361772263841666e-9	0.36506359299074265	15	11643659	11671173	1	protein_coding	slc1a5	solute carrier family 1 member 5 [Source:ZFIN;Acc:ZDB-GENE-070501-4]	1095	1399	1601	1393	1412	1745	1725	1687	1563	1641	1378	1206.7949289585872	1316.4972847052659	1333.3704806375372	1399.0145951592824	1297.130639674312	1603.9379785086785	1712.382053545165	1612.0968036839915	1807.4338088808104	1734.2797872724902	1666.0553031091697
ENSDARG00000043093	4.03785904234065e-12	3.3970358572876986e-9	-1.038810747644992	8	19356072	19359834	1	protein_coding	mpeg1.2	macrophage expressed 1, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-050522-305]	516	970	862	890	811	413	286	264	442	389	337	568.6814459750054	912.7965447920715	717.9046560334523	893.8427779553205	745.0233348271013	379.6139742831428	283.9079810515462	252.278337980186	511.1233163949572	411.1120275740394	407.44603566603064
ENSDARG00000068951	4.611807221841885e-12	3.74132860871923e-9	-2.3829754325572434	18	15758375	15768336	1	protein_coding	si:ch211-219a15.4	si:ch211-219a15.4 [Source:ZFIN;Acc:ZDB-GENE-060503-308]	47	119	59	134	103	14	8	11	21	24	18	51.79850380004895	111.98225652603763	49.13732564498107	134.57857555731792	94.6207194663273	12.868270314682807	7.9414819874558376	10.511597415841083	24.284139466728735	25.364238205082124	21.762696267028343
ENSDARG00000113076	6.357746182154484e-12	4.979869121642727e-9	-1.4297759609849117	12	43848634	44024244	-1	protein_coding	si:ch211-182p11.1	si:ch211-182p11.1 [Source:ZFIN;Acc:ZDB-GENE-131127-323]	386	851	699	616	532	180	191	149	274	205	224	425.40898865572115	800.8142882660338	582.1523834888435	618.6597204724466	488.72060928238955	165.44918976020753	189.60288245050813	142.38436499639283	316.8502006611273	216.65286800174314	270.8246646563527
ENSDARG00000097157	8.316438212008917e-12	6.296929799526084e-9	-1.0491125672709012	15	29593547	29598679	-1	protein_coding	si:ch211-207n23.2	si:ch211-207n23.2 [Source:ZFIN;Acc:ZDB-GENE-131121-310]	523	798	844	681	625	267	260	253	362	356	307	576.3961167537361	750.9398378804876	702.9136075315936	683.9403727950261	574.1548511306268	245.41629814430783	258.09816459231473	241.7667405643449	418.6123089026573	376.2362000420515	371.1748752209834
ENSDARG00000094198	9.873623557087298e-12	7.23481803545929e-9	0.5368545572513594	23	40466502	40472088	1	processed_transcript	CR354556.1	NA	213	277	292	262	258	344	367	392	319	350	302	234.7464108385197	260.66458031691116	243.18812014126226	263.1312447463977	237.01112254672273	316.19178487506326	364.31548617453655	374.59510790997314	368.8876423755461	369.895140490781	365.12968181347554
ENSDARG00000100106	1.0873478847506088e-11	7.7184710006594e-9	-1.1448170417866919	12	43852970	43982343	-1	protein_coding	CR385054.1	NA	133	233	244	217	189	79	65	71	99	108	75	146.57874479588318	219.25937622325014	203.21199080297257	217.93694698461184	173.62442698190154	72.61381106142441	64.52454114807868	67.84758332042881	114.48237177172119	114.13907192286956	90.67790111261809
ENSDARG00000099555	1.1974939254669367e-11	8.242749853630747e-9	0.40927581346248776	15	3284416	3379041	1	protein_coding	foxo1a	forkhead box O1 a [Source:NCBI gene;Acc:768121]	418	546	592	511	607	743	669	741	547	666	541	460.67605507277574	513.8009417077021	493.03892850557276	513.2063590282795	557.6191914180647	682.9374888435233	664.1064312009944	708.0994259216584	632.5440137286009	703.8576101910289	654.0899266923518
ENSDARG00000100826	3.16740548704351e-11	2.116106342299804e-8	0.3813334401548895	15	25501864	25527581	-1	protein_coding	hif1al	hypoxia inducible factor 1 subunit alpha, like [Source:ZFIN;Acc:ZDB-GENE-040426-1315]	2708	2900	4111	3095	3089	3944	3849	4342	3611	3644	3277	2984.475495543246	2728.9793607185643	3423.7889106189355	3108.363368282828	2837.70293622801	3625.175580079214	3820.84552121469	4149.2141799619985	4175.715600683689	3851.136834138302	3962.01975928066
ENSDARG00000103199	4.00053693566357e-11	2.596348471245657e-8	-1.223153036209868	16	23339062	23346095	-1	protein_coding	si:dkey-247k7.2	si:dkey-247k7.2 [Source:ZFIN;Acc:ZDB-GENE-031118-45]	897	1542	1524	1296	1047	489	420	344	620	514	511	988.5799555030618	1451.064198009664	1269.2421064906976	1301.595775539433	961.824206614026	449.47029884856374	416.92780434143145	328.72631918630293	716.9603080653246	543.2174348921754	617.8187662473047
ENSDARG00000058285	5.4037342231985244e-11	3.409606191109846e-8	0.41574265769828317	18	8340886	8367566	1	protein_coding	cpt1b	carnitine palmitoyltransferase 1B (muscle) [Source:ZFIN;Acc:ZDB-GENE-041010-9]	371	396	537	402	472	624	574	573	471	537	417	408.8775512727268	372.64683684294874	447.2329469721158	403.7357266719537	433.6017435738494	573.5571911687194	569.8013325999564	547.5586653888128	544.658556610916	567.5248298387125	504.1691301861566
ENSDARG00000030896	7.52863682410829e-11	4.621972579989725e-8	-0.7985946819383261	2	720779	722170	-1	protein_coding	foxq1a	forkhead box Q1a [Source:ZFIN;Acc:ZDB-GENE-070424-74]	179	211	240	130	232	84	124	110	93	110	101	197.2751527703992	198.55677417641968	199.88064669144842	130.56130464515917	213.12628073968867	77.20962188809685	123.09297080556549	105.11597415841082	107.5440462097987	116.25275843995973	122.11290683165903
ENSDARG00000104398	1.0720085937871407e-10	6.408072423124974e-8	-1.9855723632395266	16	45149355	45152169	-1	protein_coding	si:ch73-343g19.4	si:ch73-343g19.4 [Source:ZFIN;Acc:ZDB-GENE-100922-108]	20	35	30	18	31	5	8	5	6	6	7	22.041916510659128	32.93595780177577	24.985080836431052	18.077719104714348	28.47808061607909	4.595810826672431	7.9414819874558376	4.77799882538231	6.938325561922496	6.341059551270531	8.463270770511022
ENSDARG00000076196	1.3886935517851212e-10	8.08824975097411e-8	-1.6775458308098241	12	46209859	46228023	-1	protein_coding	si:ch211-226h7.6	si:ch211-226h7.6 [Source:ZFIN;Acc:ZDB-GENE-130531-12]	35	58	34	33	32	11	13	9	11	8	14	38.57335389365347	54.57958721437129	28.31642494795519	33.14248502530963	29.396728377888092	10.110783818679348	12.904908229615737	8.600397885688158	12.720263530191243	8.454746068360707	16.926541541022043
ENSDARG00000079497	2.6900925780860815e-10	1.5276363227806336e-7	-0.5085050155168896	5	27866649	27867657	-1	protein_coding	tcima	transcriptional and immune response regulator a [Source:ZFIN;Acc:ZDB-GENE-050320-36]	332	445	501	310	439	301	282	286	231	256	207	365.8958140769415	418.75717776543485	417.2508499683986	311.3384956923026	403.2863674341523	276.66781176568037	279.93724005781826	273.3015328118681	267.1255341340161	270.55187418754264	250.27100707082593
ENSDARG00000101040	2.859594350369878e-10	1.58428501630858e-7	-2.0331427128516757	2	45191049	45193014	1	protein_coding	ccl20a.3	chemokine (C-C motif) ligand 20a, duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-081022-193]	26	36	26	16	39	6	0	4	8	8	12	28.654491463856864	33.876985167540795	21.653736724906913	16.069083648634976	35.82726271055111	5.514972992006918	0	3.822399060305848	9.251100749229995	8.454746068360707	14.508464178018896
ENSDARG00000054160	3.0517055469807435e-10	1.6504640833254188e-7	-1.8013023577103893	10	40786196	40819136	-1	protein_coding	zgc:113625	zgc:113625 [Source:ZFIN;Acc:ZDB-GENE-050320-47]	50	78	75	110	118	28	16	15	21	33	22	55.104791276647816	73.40013452967173	62.46270209107763	110.47495008436545	108.40043589346234	25.736540629365614	15.882963974911675	14.33399647614693	24.284139466728735	34.875827531987916	26.59885099303464
ENSDARG00000052779	4.935914531757614e-10	2.60742554857847e-7	-1.6788222933942918	12	46120836	46145909	-1	protein_coding	zgc:153932	zgc:153932 [Source:ZFIN;Acc:ZDB-GENE-070209-223]	255	525	500	505	361	112	101	55	150	124	168	281.03443551090385	494.0393670266366	416.41801394051754	507.1804526600414	331.63184201305006	102.94616251746245	100.26121009162995	52.55798707920541	173.4581390480624	131.04856405959097	203.11849849226454
ENSDARG00000074526	1.208157401208195e-9	6.237112583737307e-7	0.5406284577533254	15	18253542	18361475	-1	protein_coding	zbtb16b	zinc finger and BTB domain containing 16b [Source:ZFIN;Acc:ZDB-GENE-100923-1]	295	294	425	343	351	545	474	502	357	480	380	325.1182685322221	276.6620455349165	353.9553118494399	344.4809807176123	322.44536439496	500.943380107295	470.53280775675836	479.711082068384	412.83037093438855	507.28476410164245	459.43469897059833
ENSDARG00000088641	1.8572592840273647e-9	9.224576907256467e-7	-1.4511411523194524	19	40196462	40199098	-1	protein_coding	grn2	granulin 2 [Source:ZFIN;Acc:ZDB-GENE-050522-264]	178	437	334	220	278	85	113	114	75	99	89	196.17305694486623	411.22895883931466	278.1672333122657	220.9499001687309	255.3840777829028	78.12878405343133	112.17343307281371	108.93837321871668	86.7290695240312	104.62748259596376	107.60444265364013
ENSDARG00000102558	1.8680631201135703e-9	9.224576907256467e-7	0.5053666683932402	6	344423	346084	-1	protein_coding	pde6ha	phosphodiesterase 6H, cGMP-specific, cone, gamma, paralog a [Source:ZFIN;Acc:ZDB-GENE-040426-1754]	3339	3263	4432	2957	3615	5275	4706	5103	4828	4121	3446	3679.897961454541	3070.5722944912673	3691.1292755687473	2969.7675218133513	3320.9116589395453	4848.580422139415	4671.576779120896	4876.425601185186	5583.039302160302	4355.251068464309	4166.347296454426
ENSDARG00000035178	1.9497008523706143e-9	9.42286273651032e-7	-0.8901875450736051	5	55543580	55560937	-1	protein_coding	gna14	guanine nucleotide binding protein (G protein), alpha 14 [Source:ZFIN;Acc:ZDB-GENE-040808-7]	243	321	371	432	349	198	171	110	182	184	164	267.8092856045084	302.0697844105721	308.98216634386404	433.86525851314434	320.608068871342	181.99410873622827	169.74917748186854	105.11597415841082	210.4625420449824	194.45915957229627	198.28234376625824
ENSDARG00000069946	2.3051172906822488e-9	1.090848734538485e-6	0.5197625731527228	1	31019165	31064706	1	protein_coding	itga6b	integrin, alpha 6b [Source:ZFIN;Acc:ZDB-GENE-050320-5]	659	848	1159	741	922	1202	1156	1403	969	1215	850	726.2811490262183	797.9912061687388	965.2569563141196	744.1994364774073	846.9932363879007	1104.8329227320523	1147.5441471873685	1340.7064704022762	1120.5395782504831	1284.0645591322825	1027.6828792763383
ENSDARG00000045768	2.658651018742464e-9	1.232474650831328e-6	0.2891972239228979	4	12013043	12026507	1	protein_coding	cry1a	cryptochrome circadian regulator 1a [Source:ZFIN;Acc:ZDB-GENE-010426-2]	1388	1661	1833	1316	1619	1985	1942	2009	1533	1647	1408	1529.7090058397434	1563.0464545357017	1526.5884391059374	1321.6821301002267	1487.2907263687757	1824.536898188955	1927.7947524549047	1919.7999280386123	1772.7421810711978	1740.6208468237608	1702.326463554217
ENSDARG00000056511	2.8166643208909532e-9	1.27961060098076e-6	0.3832728509279693	10	26800213	26811397	1	protein_coding	arr3a	arrestin 3a, retinal (X-arrestin) [Source:ZFIN;Acc:ZDB-GENE-040718-102]	3550	3849	4412	3229	3963	5260	4713	5014	4367	4471	3502	3912.440180641995	3622.01433082957	3674.4725550111266	3242.941943840146	3640.6010800490785	4834.792989659398	4678.5255758599205	4791.377222093381	5049.944621485924	4725.1462089550905	4234.0534626185145
ENSDARG00000038321	2.996673494601514e-9	1.334694871173988e-6	-1.9338331979660082	9	33080438	33081978	-1	protein_coding	zgc:172053	zgc:172053 [Source:ZFIN;Acc:ZDB-GENE-080219-25]	51	118	81	59	33	17	18	10	21	27	5	56.20688710218077	111.04122916027261	67.45971825836384	59.254745954341466	30.315376139697094	15.625756810686266	17.868334471775636	9.55599765076462	24.284139466728735	28.53476798071739	6.045193407507873
ENSDARG00000035859	3.836437137689209e-9	1.6758590304348152e-6	0.4745609888648301	2	24536762	24542518	1	protein_coding	angptl4	angiopoietin-like 4 [Source:ZFIN;Acc:ZDB-GENE-041111-222]	896	863	1201	849	1001	1432	1458	1304	987	1206	988	987.4778596775288	812.1066166552141	1000.2360694851232	852.6657511056933	919.5664095708119	1316.2402207589844	1447.3350922138263	1246.1020936597065	1141.3545549362507	1274.5529698053767	1194.5302173235557
ENSDARG00000101849	4.470575317447273e-9	1.9160211006757513e-6	0.2527385193558007	4	8670662	8711031	1	protein_coding	adipor2	adiponectin receptor 2 [Source:ZFIN;Acc:ZDB-GENE-041210-60]	2580	3153	3931	3180	3307	4019	3662	3688	3140	3628	2968	2843.4072298750275	2967.059284257115	3273.878425600349	3193.730375166201	3037.9681483023724	3694.1127424793003	3635.21337975791	3524.251933601992	3631.057044072773	3834.227342001581	3588.4268066966733
ENSDARG00000091260	4.556919498904852e-9	1.9168597484745133e-6	0.43618182007037065	2	394166	424925	1	protein_coding	mylk4a	myosin light chain kinase family, member 4a [Source:ZFIN;Acc:ZDB-GENE-120824-2]	360	456	566	407	514	597	586	594	481	628	519	396.7544971918643	429.1084787888501	471.3851917806659	408.7573153121522	472.1849495698275	548.7398127046882	581.7135555811401	567.6262604554184	556.2224325474534	663.6975663663155	627.4910756993172
ENSDARG00000019122	5.234640238158635e-9	2.161906418359516e-6	-5.686913477183847	22	14098028	14099399	1	protein_coding	he1.2	hatching enzyme 1, tandem dupliate 2 [Source:ZFIN;Acc:ZDB-GENE-030131-2100]	12	0	20	14	6	0	0	0	0	0	0	13.225149906395476	0	16.6567205576207	14.060448192555603	5.511886570854017	0	0	0	0	0	0
ENSDARG00000103435	5.454817782707586e-9	2.2126104631107645e-6	0.24606189539427978	13	23132666	23226460	1	protein_coding	sorbs1	sorbin and SH3 domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-090313-168]	1536	1780	1981	1856	1905	2095	2049	2085	1726	2072	1778	1692.819188018621	1675.0287110617394	1649.8481712323305	1864.0137032416571	1750.0239862461506	1925.6447363757486	2034.0120740371265	1992.4255101844233	1995.9249866463715	2189.779231705423	2149.6707757097997
ENSDARG00000006588	7.836934191224057e-9	3.1230870202395516e-6	-0.904126591484335	1	45173421	45177401	-1	protein_coding	zgc:111983	zgc:111983 [Source:ZFIN;Acc:ZDB-GENE-050417-335]	1503	2593	2549	2528	2013	1048	955	835	1307	1205	1085	1656.4500257760333	2440.083959428702	2122.8990350687586	2538.915216484326	1849.2379445215229	963.2819492705415	948.0144122525406	797.9258038388458	1511.3985849054504	1273.4961265468316	1311.8069694292085
ENSDARG00000091131	1.161271331223072e-8	4.547979015298634e-6	0.4278666278799092	22	786556	809282	1	protein_coding	cry3b	cryptochrome circadian regulator 3b [Source:ZFIN;Acc:ZDB-GENE-010426-5]	578	817	727	516	769	873	961	914	713	876	699	637.0113871580487	768.819357830023	605.4717922695125	518.2279476684779	706.4401288311232	802.4285703370065	953.9705237431325	873.4181852798863	824.5043542751233	925.7946944854975	845.1180383696006
ENSDARG00000103720	1.3808286099800971e-8	5.316190148423374e-6	-0.4859875315144958	15	13984879	13986761	1	protein_coding	NA	zgc:162730 [Source:ZFIN;Acc:ZDB-GENE-030131-6366]	1667	2075	2460	1997	2166	1310	1387	1428	1366	1428	1155	1837.193741163438	1952.631783962421	2048.7766285873463	2005.6225028952529	1989.7910520783003	1204.102436588177	1376.8544395751558	1364.5964645291879	1579.6254529310218	1509.1721732023864	1396.4396771343186
ENSDARG00000117407	1.5539144819718547e-8	5.882861242998447e-6	0.49552346658251345	5	13603536	13616296	1	lincRNA	AL954191.2	uncharacterized LOC101885516 [Source:NCBI gene;Acc:101885516]	275	344	381	351	434	457	473	468	381	496	474	303.07635202156297	323.7134138231676	317.3105266226744	352.5155225419298	398.69312862510725	420.0571095578602	469.5401225083264	447.22069005578425	440.58367318207854	524.1942562383639	573.0843350317464
